"","class","order","family","species","AaM","longevity","juvMort","adMort","svl","fecundity","birth.svl","mass","Terr","AdTerr","IF","repmode","na_count"
"1","Actinopterygii","Characiformes","Characidae","Aphyocharax anisitsi",10,13.33333333,15.0194833612902,0.0909090909090909,5.5,1e+06,NA,0.57,"0","0",NA,0,2
"2","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus hemigymnus",NA,NA,NA,NA,5.099999905,NA,NA,1.399999976,"0","0",0,0,6
"3","Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon furcatus",2.375,10,14.2291367181851,0.296296296296296,35,198333.3333,NA,1.5,"0","0",NA,0,2
"4","Actinopterygii","Characiformes","Characidae","Argopleura magdalenensis",NA,NA,NA,NA,5.300000191,NA,NA,2.039999962,"0","0",1,0,6
"5","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Aphanius splendens",NA,NA,NA,NA,6.010000229,NA,NA,2.059999943,"0","0",0,0,6
"6","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Aphanius transgrediens",NA,NA,NA,NA,5.409999847,NA,NA,2.440000057,"0","0",0,0,6
"7","Actinopterygii","Characiformes","Characidae","Creagrutus cracentis",NA,NA,NA,NA,6,NA,NA,2.440000057,"0","0",NA,0,7
"8","Actinopterygii","Cypriniformes","Cyprinidae","Barilius mesopotamicus",NA,NA,NA,NA,6.980000019,NA,NA,2.450000048,"0","0",0,0,6
"9","Actinopterygii","Characiformes","Characidae","Creagrutus melasma",NA,NA,NA,NA,4.5,NA,NA,2.5,"0","0",NA,0,7
"10","Actinopterygii","Perciformes","Badidae","Badis badis",6.1,17.5,17.7610592444376,0.140845070422535,7.099999905,4535500,NA,2.579999924,"0","0",0,0,1
"11","Actinopterygii","Cyprinodontiformes","Rivulidae","Austrolebias nigrofasciatus",NA,NA,NA,NA,5.800000191,NA,NA,2.599999905,"0","0",0,0,6
"12","Actinopterygii","Cypriniformes","Cyprinidae","Clypeobarbus hypsolepis",NA,NA,NA,NA,3.299999952,NA,NA,3,"0","0",0,0,6
"13","Actinopterygii","Characiformes","Characidae","Astyanax pampa",NA,NA,NA,NA,6.199999809,NA,NA,3.400000095,"0","0",NA,0,7
"14","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Aphanius vladykovi",NA,NA,NA,NA,6.861999989,NA,NA,3.700000048,"0","0",0,0,6
"15","Actinopterygii","Scorpaeniformes","Psychrolutidae","Cottunculus tubulosus",NA,NA,NA,NA,4.699999809,NA,NA,3.700000048,"0","0",0,0,6
"16","Actinopterygii","Scorpaeniformes","Cottidae","Cottus petiti",NA,NA,NA,NA,6.400000095,NA,NA,4,"0","0",1,0,6
"17","Actinopterygii","Beloniformes","Exocoetidae","Cypselurus comatus",4.5,7.466666667,10.0299979494131,0.181818181818182,30,7650.75,NA,4.9,"0","0",NA,0,2
"18","Actinopterygii","Cypriniformes","Cyprinidae","Enteromius callipterus",NA,NA,NA,NA,8.899999619,NA,NA,5,"0","0",0,0,6
"19","Actinopterygii","Cypriniformes","Cyprinidae","Garra waterloti",NA,1,NA,NA,7,NA,NA,5,"0","0",0,0,5
"20","Actinopterygii","Cypriniformes","Cyprinidae","Alburnoides prespensis",NA,NA,NA,NA,13.10000038,NA,NA,5.400000095,"0","0",0,0,6
"21","Actinopterygii","Cypriniformes","Cobitidae","Cobitis splendens",NA,NA,NA,NA,10.5,NA,NA,6,"0","0",0,0,6
"22","Actinopterygii","Cypriniformes","Cobitidae","Cobitis keyvani",NA,NA,NA,NA,9.300000191,NA,NA,6.199999809,"0","0",0,0,6
"23","Actinopterygii","Cypriniformes","Cobitidae","Cobitis faridpaki",NA,NA,NA,NA,8.739999771,NA,NA,6.300000191,"0","0",0,0,6
"24","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Aphanius villwocki",NA,NA,NA,NA,7.039999962,NA,NA,6.429999828,"0","0",0,0,6
"25","Actinopterygii","Siluriformes","Bagridae","Batasio fluviatilis",NA,NA,NA,NA,12.80000019,NA,NA,6.5,"0","0",0,0,6
"26","Actinopterygii","Characiformes","Characidae","Bryconamericus ikaa",NA,NA,NA,NA,6.800000191,NA,NA,6.699999809,"0","0",NA,0,7
"27","Actinopterygii","Scorpaeniformes","Cottocomephoridae","Paracottus knerii",NA,7,NA,NA,14.5,4073.5,NA,7,"0","0",0,0,4
"28","Actinopterygii","Cypriniformes","Cyprinidae","Enteromius macrops",NA,NA,NA,NA,16.89999962,NA,NA,8,"0","0",0,0,6
"29","Actinopterygii","Perciformes","Leiognathidae","Secutor megalolepis",NA,NA,NA,NA,7.5,NA,NA,8.390000343,"0","0",0,0,6
"30","Actinopterygii","Cypriniformes","Cyprinidae","Barilius pakistanicus",NA,NA,NA,NA,10.13000011,NA,NA,8.930000305,"0","0",0,0,6
"31","Actinopterygii","Atheriniformes","Atherinidae","Atherinomorus insularum",NA,NA,NA,NA,9.800000191,NA,NA,9,"0","0",0,0,6
"32","Actinopterygii","Characiformes","Alestidae","Brycinus leuciscus",NA,NA,NA,NA,12,NA,NA,10,"0","0",0,0,6
"33","Actinopterygii","Perciformes","Haemulidae","Genyatremus cavifrons",NA,NA,NA,NA,12.60000038,NA,NA,10,"0","0",0,0,6
"34","Actinopterygii","Cypriniformes","Cyprinidae","Garra persica",NA,NA,NA,NA,9.949999809,NA,NA,11.10000038,"0","0",0,0,6
"35","Actinopterygii","Characiformes","Crenuchidae","Characidium chupa",NA,NA,NA,NA,8.199999809,NA,NA,11.19999981,"0","0",0,0,6
"36","Actinopterygii","Siluriformes","Callichthyidae","Corydoras paleatus",NA,NA,NA,NA,6.849999905,NA,NA,11.19999981,"0","0",0,0,6
"37","Actinopterygii","Cypriniformes","Cyprinidae","Devario regina",NA,NA,NA,NA,10.10000038,NA,NA,11.19999981,"0","0",0,0,6
"38","Actinopterygii","Cypriniformes","Cobitidae","Cobitis tetralineata",NA,NA,NA,NA,12.39999962,NA,NA,11.38000011,"0","0",0,0,6
"39","Actinopterygii","Characiformes","Curimatidae","Cyphocharax saladensis",NA,NA,NA,NA,9.800000191,NA,NA,11.69999981,"0","0",0,0,6
"40","Actinopterygii","Perciformes","Ambassidae","Ambassis interrupta",NA,NA,NA,NA,12,NA,NA,12,"0","0",0,0,6
"41","Actinopterygii","Atheriniformes","Atherinopsidae","Chirostoma chapalae",NA,NA,NA,NA,14,NA,NA,12,"0","0",0,0,6
"42","Actinopterygii","Scorpaeniformes","Cottidae","Cottus hispaniolensis",NA,NA,NA,NA,10.5,NA,NA,12,"0","0",1,0,6
"43","Actinopterygii","Myctophiformes","Myctophidae","Electrona carlsbergi",NA,NA,NA,NA,10.4000001,NA,NA,12.10000038,"0","0",0,0,6
"44","Actinopterygii","Tetraodontiformes","Diodontidae","Chilomycterus spinosus spinosus",NA,NA,NA,NA,28,NA,NA,12.21000004,"0","0",0,0,6
"45","Actinopterygii","Siluriformes","Loricariidae","Farlowella martini",NA,NA,NA,NA,19.29999924,NA,NA,12.30000019,"0","0",0,0,6
"46","Actinopterygii","Perciformes","Leiognathidae","Secutor hanedai",NA,NA,NA,NA,9.100000381,NA,NA,12.77000046,"0","0",0,0,6
"47","Actinopterygii","Cypriniformes","Cyprinidae","Abbottina obtusirostris",NA,NA,NA,NA,10.89999962,NA,NA,13.5,"0","0",0,0,6
"48","Actinopterygii","Scorpaeniformes","Scorpaenidae","Ebosia falcata",NA,NA,NA,NA,11.60000038,NA,NA,15,"0","0",0,0,6
"49","Actinopterygii","Cypriniformes","Cobitidae","Cobitis simplicispina",NA,NA,NA,NA,13.39999962,NA,NA,15.10000038,"0","0",0,0,6
