Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
yes,yes,,,,,Acanthochelys,macrocephala,big-headed Pantanal swamp turtle,Chelidae,736.54,1023.81,"13M, 21F","southeast section of Kaa-Iya National Park, Santa Cruz department, Bolivia",186.92,197.86,1500,1500,1500,225,275,275,"note: estimated from bar graph figures containing each animal, but seems fine and they seem to have rounded heavily ","Dosapey, T., and R.R. Montano. 2004. Estructura de la poblacion y telemetria de Acanthochelys macrocephala (Testudines, Chelidae) en los humedales del sureste del Chaco de Santa Cruz, Bolivia. In: Bodmer, R.E. (Ed.). Memorias: Manejo de Fauna silvestre en Amazonia y Latinoamerica. Iquitos: Universidad Nacional de la Amazonia Peruana, pp. 166-171.",,,,,,,,,
,,,,,,Acanthochelys,spixii,a brazilian side-necked turtle,Chelidae,247.73,330.87,"33M, 23F","Lagoa do Henrique, Parque Nacional de Brasilia, Federal District, Brazil",128.79,139.78,,,,,,170,,"Neto, H.J.F., M.A. Brasil, G. de Freitas Horta, T.O. Barros, G.B. Falcon, and G.R. Colli. 2011. Demography of Acanthochelys spixii (Testudines: Chelidae) in the Brazilian Cerrado. Chelonian Conservation and Biology 10(1):82-90.",,,,,,,,,
yes,yes,,,,,Acanthochelys,spixii,black spine-necked swamp turtle,Chelidae,281.5,385.6,"21M, 23F","Itapeva State Park, Torres Municipality, Rio Grande do Sul state, Brazil",129.35,136.43,415,700,700,154.7,159.5,159.5,,"Bujes, C.S. 2010. Freshwater Turtles of Rio Grande do Sul, Brazil: Taxonomy, Natural History and Conservation. Iheringia. Serie Zoologia 100(4): 413-424.",,,,,,,,,
,,,,,,Acanthochelys ,macrocephala,,Chelidae,,,,,163,196,,,,,,,,,(Gibbons and Lovich 1990) ,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Emys,marmorata,Pacific pond turtle,Emydidae,406,523,"19M, 18F",California,137,144,533,750,750,155,160,160,,"Lovich, J., and K. Meyer. 2002. The western pond turtle (Clemmys marmorata) in the Mojave River, California, UTA: highly adapted survivor or tenuous relict? J. Zool. Lond. 256:537-545.",,,,,,,,,
,,,,,,Emys,marmorata,Western pond turtle,Emydidae,333.33,415.83,"3M, 6F","Carrizo Plain Ecological Reserve, San Luis Obisipo County, California",133.67,140.67,370,660,660,142,163,163,"note: 9 turtles selected from 16 >300 grams, from 93 total turtles","Pilliod, D.S., J.L. Welty, and R. Stafford. 2013. Terrestrial Movement Patterns of Western Pond Turtles (Actinemys marmorata) in Central California. Herpetological Conservation and Biology 8(1): 207-221.",,,,,,,,,
,,,,,,Emys,marmorata,Western pond turtle,Emydidae,757.9,719.2,"100M, 98F","Fresno, Fresno County, California",168.9,158.3,,,,188.8,174.6,,note: maximum SCL are "upper 10%" of sample,"Germano, D.J. 2010. Ecology of Western Pond Turtles (Actinemys marmorata) at Sewage-treatment Facilities in the San Joaquin Valley, California. The Southwestern Naturalist 55(1): 89-97.",,,,,,,,,
,,,,,,Emys,marmorata,Western pond turtle,Emydidae,787.8,683.8,"71M, 32F","Hanford, Tulare County, California",168.6,154.3,,,,179.7,161.3,,note: maximum SCL are "upper 10%" of sample,"Germano, D.J. 2010. Ecology of Western Pond Turtles (Actinemys marmorata) at Sewage-treatment Facilities in the San Joaquin Valley, California. The Southwestern Naturalist 55(1): 89-97.",,,,,,,,,
yes,,,,,,Emys,marmorata,,Emydidae,,,"20M, F27",,168,163,,,,,,,,,Bury 1986,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Emys,marmorata,,Emydidae,,,,,160.6,156.2,,,,211,190.8,,,,"Gibbons & Lovich, 1990; Lovich & Meyer, 2002; Lubcke & Wilson, 2007; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,yes,yes,,,Dipsochelys,dussumieri,Aldabra tortoise,Testudinidae,,,,Aldabra Atoll,,,300000,65000,,1060,790,,,"Waibel, E.A. 2009. Mixed Effects of Ingestion by the Aldabran Giant Tortoise (Aldabrachelys gigantea) on the Germination of Alien Plant Species on the Mascarene Islands. Master's thesis. University of Zurich. ",,,,,,,,,
,,,,,,Dipsochelys,dussumieri,,Testudinidae,,,,,852.3,749,,,,,,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Dipsochelys,dussumieri,,Testudinidae,,,"33M, F37",,1230,880,,,,,,,,,Gerlach and Canning 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,yes,Apalone,ferox,Florida softshell turtle,Trionychidae,2680,6650,"127M, 54F","Palm Beach County, Florida",,,,,,,,,,"Meylan, P.A., R. Schuler, and P. Moler. 2002. Spermatogenic Cycle of the Florida Softshell Turtle, Apalone ferox. Copeia 2002(3): 779-786.            ",,,"Iverson, J.B., and P.E. Moler. 1997. The Female Reproductive Cycle of the Florida Softshell Turtle (Apalone ferox). Journal of Herpetology 31(3): 399-409.",,,,,,
,,,,,,Apalone,ferox,,Trionychidae,,,,,220,400.5,,,,330,738,,,,"Ernst et al., 2007; Webb, 1973; Meylan, 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Apalone,mutica,,Trionychidae,,,,,156.5,223.3,,,,218.7,360,,,,"Webb, 1973; Pritchard & Trebbau, 1984; Gibbons & Lovich, 1990; Barko & Briggler, 2006; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Apalone,spinifera,spiny soft-shell turtle,Trionychidae,600,2915,~15,Arkansas,,,,,,,,,,"Plummer, M.V., and J.C. Burnley. Behavior, hibernacula, and thermal relations of softshell turtles (Trionyx spiniferus) overwintering in a small stream. 1997. Chelonian Conservation and Biology 2:489-493.",,,,,,,,,
,yes,,,,,Apalone,spinifera,eastern spiny softshell,Trionychidae,321.1,2555.9,~40,Vermont,,,,,,,,,,"Graham, T.E., and A.A. Graham. 1997. Ecology of the eastern spiny softshell, Apalone spinifera spinifera, in the Lamoille River, Vermont. Chelonian Conservation and Biology 2(3):363-369.",,,,,,,,,
yes,,,,,,Apalone,spinifera,,Trionychidae,,,,,176.9,298.7,,,,257.5,550,,,,"Webb, 1973; Gibbons & Lovich, 1990; Pritchard, 2001; Barko & Briggler, 2006; Bonin et al., 2006; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
